TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,28.96
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,27.63
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,20.88
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.86
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,25.88
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.55
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.11
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,29.99
N293EA,2025-08-06,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,29.89
N293EA,2025-08-04,MD87,Near Battle Mountain, NV,Jakes Fire - NVEKD,2025-08-01,2025-08-07,13.37
N293EA,2025-08-04,MD87,Near Battle Mountain, NV,Snowstorm Fire - NVEKD,2025-08-01,2025-08-04,29.50
N293EA,2025-08-04,MD87,Near Battle Mountain, NV,Jakes Fire - NVEKD,2025-08-01,2025-08-07,11.83
N293EA,2025-08-04,MD87,Near Battle Mountain, NV,Snowstorm Fire - NVEKD,2025-08-01,2025-08-04,20.55
N293EA,2025-08-02,MD87,Near Battle Mountain, NV,Adobe Mtn Fire - NVEKD,2025-08-02,2025-08-07,15.00
N293EA,2025-08-02,MD87,Magic Valley Rgnl (KTWF),Adobe Mtn Fire - NVEKD,2025-08-02,2025-08-07,9.99
N293EA,2025-08-02,MD87,Roberts Fld (KRDM),Adobe Mtn Fire - NVEKD,2025-08-02,2025-08-07,6.99
N293EA,2025-07-31,MD87,Grant County Intl (KMWH),Kinkaid Creek Complex Fire - WACOA,2025-07-31,2025-08-05,27.22
N293EA,2025-07-31,MD87,Grant County Intl (KMWH),Kinkaid Creek Fire - WACOA,2025-07-31,2025-08-03,27.22
N293EA,2025-07-31,MD87,Grant County Intl (KMWH),Kinkaid Creek Complex Fire - WACOA,2025-07-31,2025-08-05,29.87
N293EA,2025-07-31,MD87,Grant County Intl (KMWH),Kinkaid Creek Fire - WACOA,2025-07-31,2025-08-03,29.87
N293EA,2025-07-31,MD87,Roberts Fld (KRDM),Kinkaid Creek Complex Fire - WACOA,2025-07-31,2025-08-05,29.91
N293EA,2025-07-31,MD87,Roberts Fld (KRDM),Kinkaid Creek Fire - WACOA,2025-07-31,2025-08-03,29.91
N293EA,2025-07-30,MD87,Magic Valley Rgnl (KTWF),Cedar Fire - Idaho - IDSCF,2025-07-29,2025-08-07,29.09
